,obj1,obj2
0,7364244.799999999,47.04
1,7361023.993591557,47.51
2,7357729.544735113,47.51
3,7354435.095878671,48.08
4,7351140.647022236,48.08
5,7347846.198165797,48.08
6,7344551.749309356,48.08
7,7341257.3004529225,48.08
8,7337962.851596475,48.08
9,7334668.402740035,48.08
10,7331373.953883604,48.08
11,7328079.505027154,48.08
12,7324785.056170715,48.08
13,7321490.60731428,49.37
14,7318196.15845783,49.65
15,7314901.709601395,50.49
16,7311607.260744958,50.49
17,7308312.811888519,55.07
18,7305018.363032073,55.61
19,7301723.914175634,56.85
20,7301723.914175634,56.85056850000001
21,7301859.207666661,56.33424754736842
22,7301859.207666661,55.817926594736846
23,7306286.899999994,55.301605642105265
24,7308374.474999991,54.785284689473684
25,7308374.474999987,54.26896373684211
26,7308374.474999992,53.75264278421053
27,7308385.554999989,53.236321831578955
28,7308532.052777759,52.720000878947374
29,7308629.59499999,52.20367992631579
30,7309444.539999993,51.68735897368422
31,7309523.428333329,51.17103802105264
32,7309523.428333328,50.65471706842106
33,7315550.746874994,50.138396115789476
34,7318554.805555553,49.622075163157895
35,7321496.21499999,49.10575421052632
36,7321496.214999999,48.58943325789474
37,7355220.759999997,48.07311230526316
38,7355220.759999993,47.556791352631585
39,7364244.799999999,47.040470400000004
40,7301650.897666659,56.85
41,7364244.799999999,47.04
